,sentences1,sentences2,is_similar
934,A little boy's jumper is in a puddle in the street,A young child is wearing green boots and playing in a puddle full of mud,1
935,A little boy is jumping into a puddle on the street,A young child is wearing boots made of green rubber and playing in a puddle full of mud,1
936,A young child is barefoot and is walking past a puddle full of mud,A little boy is jumping into a puddle on the street,1
937,Some green boots in a puddle full of mud are targeted by a playful young child wearing a scarf,A little boy is jumping into a puddle on the street,1
938,A young child is wearing green boots and playing in a puddle full of mud,A little boy is jumping into a puddle on the street,1
939,"Some corndogs are being eaten by two toddlers who are in a wagon, which is really small","Two toddlers are eating corndogs in a wagon, which is really small",1
940,"Two toddlers are sleeping in a wagon, which is really small","Two toddlers are eating corndogs in a wagon, which is really small",1
941,Two toddlers are eating on a really small wagon full of corndogs ,"Two toddlers are eating corndogs in a wagon, which is really small",1
942,Two young kids are eating corndogs,Two young children are eating corndogs,1
943,Two young kids are eating corndogs,Two young kids are fasting,1
944,Two young kids are playing with a man eating corndogs,Two young kids are eating corndogs,1
945,"Two toddlers are eating corndogs in a wagon, which is really small",Two young children are eating corndogs,1
946,Two young kids are fasting,"Two toddlers are eating corndogs in a wagon, which is really small",1
947,Two young kids are playing with a man eating corndogs,"Two toddlers are eating corndogs in a wagon, which is really small",1
948,"Some corndogs are being eaten by two toddlers who are in a wagon, which is really small",Two young kids are eating corndogs,1
949,"Two toddlers are sleeping in a wagon, which is really small",Two young kids are eating corndogs,0
950,Two toddlers are eating on a really small wagon full of corndogs ,Two young kids are eating corndogs,1
951,"Two toddlers are eating corndogs in a wagon, which is really small",Two young kids are eating corndogs,1
952,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a face which looks funny,1
953,"A man in a shirt dyed purple is walking away from a man in a black shirt, who is serious",A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,1
954,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,"A man in a purple shirt is dying another shirt black, which has a man looking at a dog doing a funny face painted on it.",1
955,A man in a pose is being amusedly watched by another man,A man doing a pose is being watched by another man,1
956,A man doing a pose is being watched by another man,There is no man in a pose being watched by another man,1
957,A man is posing to be watched by another man,A man doing a pose is being watched by another man,1
958,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,A man in a pose is being amusedly watched by another man,1
959,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,There is no man in a pose being watched by another man,1
960,A man is posing to be watched by another man,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,1
961,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a face which looks funny,A man doing a pose is being watched by another man,1
962,A man doing a pose is being watched by another man,"A man in a shirt dyed purple is walking away from a man in a black shirt, who is serious",1
963,A man doing a pose is being watched by another man,"A man in a purple shirt is dying another shirt black, which has a man looking at a dog doing a funny face painted on it.",0
964,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,A man doing a pose is being watched by another man,1
965,A horse is tossing the cowboy wearing pants of blue and red color,The cowboy in blue and red pants is being tossed by a horse,1
966,There is no horse tossing the cowboy in red and blue pants,A horse is tossing the cowboy wearing pants of blue and red color,1
967,A horse is tossing the cowboy wearing pants of blue and red color,The cowboy is tossing the blue and red pants towards the horse,1
968,A man is abruptly falling off a horse on a track laid in the wild,A man is falling off a horse on a track and is laid in the wild,1
969,A man is falling off a horse on a track and is laid in the wild,A man is getting on a horse on a track laid in the wild,1
970,A man is laying a cover over a wild horse that is falling on the track,A man is falling off a horse on a track and is laid in the wild,1
971,A man is abruptly falling off a horse on a track laid in the wild,A horse is tossing the cowboy wearing pants of blue and red color,1
972,A man is getting on a horse on a track laid in the wild,A horse is tossing the cowboy wearing pants of blue and red color,0
973,A horse is tossing the cowboy wearing pants of blue and red color,A man is laying a cover over a wild horse that is falling on the track,0
974,The cowboy in blue and red pants is being tossed by a horse,A man is falling off a horse on a track and is laid in the wild,1
975,There is no horse tossing the cowboy in red and blue pants,A man is falling off a horse on a track and is laid in the wild,1
976,A man is falling off a horse on a track and is laid in the wild,The cowboy is tossing the blue and red pants towards the horse,0
977,A man is falling off a horse on a track and is laid in the wild,A horse is tossing the cowboy wearing pants of blue and red color,1
978,An adult is in the amphitheater and is talking seriously to a boy,An adult is in the amphitheater and is talking to a boy,1
979,An adult is in the amphitheater and is talking to a boy,There is no adult in the amphitheater talking to a boy,1
980,A talk about an adult and a boy is given in the amphitheater,An adult is in the amphitheater and is talking to a boy,1
981,"The man and the boy are standing at the bottom of the stairs, which are outdoors","A man and a boy are standing at the bottom of some stairs, which are outdoors",1
982,"The man and the boy are standing at the bottom of the stairs, which are outdoors","The man and the boy are standing at the top of the stairs, which are outdoors",1
983,"The man and the boy are standing at the bottom of the stairs, which are outdoors",The man is standing outdoor and the boy is falling over the bottom of the stairs,1
984,An adult is in the amphitheater and is talking to a boy,"A man and a boy are standing at the bottom of some stairs, which are outdoors",0
985,An adult is in the amphitheater and is talking to a boy,"The man and the boy are standing at the top of the stairs, which are outdoors",1
986,An adult is in the amphitheater and is talking to a boy,The man is standing outdoor and the boy is falling over the bottom of the stairs,0
987,"The man and the boy are standing at the bottom of the stairs, which are outdoors",An adult is in the amphitheater and is talking seriously to a boy,1
988,There is no adult in the amphitheater talking to a boy,"The man and the boy are standing at the bottom of the stairs, which are outdoors",0
989,A talk about an adult and a boy is given in the amphitheater,"The man and the boy are standing at the bottom of the stairs, which are outdoors",0
990,"The man and the boy are standing at the bottom of the stairs, which are outdoors",An adult is in the amphitheater and is talking to a boy,0
991,A boy in a red shirt is in front of a long blue wall and is suspiciously raising an eyebrow at the camera,"A boy in a red shirt is in front a wall, which is long and blue, and is suspiciously raising an eyebrow at the camera",1
992,A boy in a red shirt is in front of a long blue wall and is suspiciously raising an eyebrow at the camera,"A boy in a red shirt is behind a long blue wall and is lowering an eyebrow, facing the camera",1
993,"A boy is standing in front of the building painted blue, in the space reserved for handicapped people",A boy is standing in front of the blue building in the space reserved for handicapped people,1
994,There is no boy standing in front of the blue building in the space reserved for handicapped people,A boy is standing in front of the blue building in the space reserved for handicapped people,1
995,"A boy is standing in front of the building painted blue, in the space reserved for handicapped people",A boy in a red shirt is in front of a long blue wall and is suspiciously raising an eyebrow at the camera,1
996,A boy in a red shirt is in front of a long blue wall and is suspiciously raising an eyebrow at the camera,There is no boy standing in front of the blue building in the space reserved for handicapped people,0
997,"A boy in a red shirt is in front a wall, which is long and blue, and is suspiciously raising an eyebrow at the camera",A boy is standing in front of the blue building in the space reserved for handicapped people,0
998,"A boy in a red shirt is behind a long blue wall and is lowering an eyebrow, facing the camera",A boy is standing in front of the blue building in the space reserved for handicapped people,0
999,A boy in a red shirt is in front of a long blue wall and is suspiciously raising an eyebrow at the camera,A boy is standing in front of the blue building in the space reserved for handicapped people,0
1000,"The Jockeys are riding horses on the field, which is completely green","The Jockeys are racing horses on the field, which is completely green",1
1001,"The Jockeys are racing horses on the field, which is completely green","The Jockeys are slowing down their horses on the field, which is completely green",1
1002,The green field for horse races is completely full of Jockeys,"The Jockeys are racing horses on the field, which is completely green",1
1003,A few horses are racing furiously over the green grass and jumping the obstacle,Some horses are racing furiously over the green grass and jumping an obstacle,1
1004,Some horses are racing furiously over the green grass and jumping an obstacle,Some horses are resting on the green grass,1
1005,Some furious racers on the green grass are yelling at the horses jumping an obstacle,Some horses are racing furiously over the green grass and jumping an obstacle,1
1006,"The Jockeys are racing horses on the field, which is completely green",A few horses are racing furiously over the green grass and jumping the obstacle,1
1007,Some horses are resting on the green grass,"The Jockeys are racing horses on the field, which is completely green",1
1008,Some furious racers on the green grass are yelling at the horses jumping an obstacle,"The Jockeys are racing horses on the field, which is completely green",1
1009,"The Jockeys are riding horses on the field, which is completely green",Some horses are racing furiously over the green grass and jumping an obstacle,1
1010,Some horses are racing furiously over the green grass and jumping an obstacle,"The Jockeys are slowing down their horses on the field, which is completely green",1
1011,Some horses are racing furiously over the green grass and jumping an obstacle,The green field for horse races is completely full of Jockeys,1
1012,Some horses are racing furiously over the green grass and jumping an obstacle,"The Jockeys are racing horses on the field, which is completely green",1
1013,A woman is wearing sunglasses of large size and is holding newspapers in both hands,The woman is wearing sunglasses of large size and is holding newspapers in both hands,1
1014,A woman is wearing sunglasses of large size and is holding newspapers in both hands,There is no woman wearing sunglasses of large size and holding newspapers in both hands,1
1015,A woman is wearing sunglasses of large size and is holding newspapers in both hands,A newspaper is featuring a woman with large sized hands holding sunglasses and wearing a coat,1
1016,An old woman is wearing a rose patterned shirt and is clumsily carrying two newspapers,An old woman is wearing a shirt with a rose pattern upon it and is clumsily carrying two newspapers,1
1017,An old woman is shirtless and is clumsily dropping two newspapers,An old woman is wearing a rose patterned shirt and is clumsily carrying two newspapers,1
1018,An old woman is wearing a shirt with a rose pattern upon it and is clumsily carrying two newspapers,A woman is wearing sunglasses of large size and is holding newspapers in both hands,1
1019,An old woman is shirtless and is clumsily dropping two newspapers,A woman is wearing sunglasses of large size and is holding newspapers in both hands,0
1020,An old woman is wearing a rose patterned shirt and is clumsily carrying two newspapers,The woman is wearing sunglasses of large size and is holding newspapers in both hands,1
1021,An old woman is wearing a rose patterned shirt and is clumsily carrying two newspapers,There is no woman wearing sunglasses of large size and holding newspapers in both hands,1
1022,An old woman is wearing a rose patterned shirt and is clumsily carrying two newspapers,A newspaper is featuring a woman with large sized hands holding sunglasses and wearing a coat,0
1023,An old woman is wearing a rose patterned shirt and is clumsily carrying two newspapers,A woman is wearing sunglasses of large size and is holding newspapers in both hands,1
1024,One person who is practicing snowboarding jumps into the air,A person who is practicing snowboarding jumps into the air,1
1025,A person who is practicing snowboarding falls from the air,A person who is practicing snowboarding jumps into the air,1
1026,A practicing jumper is tossing a person's snowboard into the air,A person who is practicing snowboarding jumps into the air,1
1027,The snowboarder is leaping fearlessly over white snow,The snowboarder is leaping over white snow,1
1028,The snowboarder isn't leaping over white snow,The snowboarder is leaping over white snow,1
1029,The snowboarder is leaping over white snow,A leap over white snow is greatly appealing to the snowboarders,1
1030,The snowboarder is leaping fearlessly over white snow,A person who is practicing snowboarding jumps into the air,1
1031,The snowboarder isn't leaping over white snow,A person who is practicing snowboarding jumps into the air,1
1032,A person who is practicing snowboarding jumps into the air,A leap over white snow is greatly appealing to the snowboarders,1
1033,The snowboarder is leaping over white snow,One person who is practicing snowboarding jumps into the air,1
1034,A person who is practicing snowboarding falls from the air,The snowboarder is leaping over white snow,1
1035,A practicing jumper is tossing a person's snowboard into the air,The snowboarder is leaping over white snow,1
1036,The snowboarder is leaping over white snow,A person who is practicing snowboarding jumps into the air,1
1037,"A dog is near a ball colored in red, which is in the air",A dog is near the red ball in the air,1
1038,A dog is near the red ball in the air,A dog is far from the red ball in the air,1
1039,A dog is jumping in the air to catch a red ball,A dog is near the red ball in the air,1
1040,"A dog, which is small, is playing tirelessly on the green grass","A dog, which is small, is playing on the green grass",1
1041,"A dog, which is small, is playing on the green grass","A dog, which is small, is running out of the green grass",1
1042,"A dog, which is small, is playing on the green grass",A small kid is playing with a green toy dog on the grass,1
1043,A dog is near the red ball in the air,"A dog, which is small, is playing tirelessly on the green grass",1
1044,"A dog, which is small, is running out of the green grass",A dog is near the red ball in the air,1
1045,A dog is near the red ball in the air,A small kid is playing with a green toy dog on the grass,0
1046,"A dog, which is small, is playing on the green grass","A dog is near a ball colored in red, which is in the air",0
1047,A dog is far from the red ball in the air,"A dog, which is small, is playing on the green grass",0
1048,A dog is jumping in the air to catch a red ball,"A dog, which is small, is playing on the green grass",1
1049,A dog is near the red ball in the air,"A dog, which is small, is playing on the green grass",1
1050,The person is riding a motorbike on a sandy track,The person is riding a motorbike on a track on the sand,1
1051,The person isn't riding a motorbike on a sandy track,The person is riding a motorbike on a sandy track,1
1052,A motorbike rider is jumping over a person on a sandy track,The person is riding a motorbike on a sandy track,1
1053,A man is riding a motorbike in the event related to motocross,A person is riding a motorbike in the event related to motocross,1
1054,A person is riding a motorbike in the event related to motocross,There is no person riding a motorbike in the event related to motocross,1
1055,A person is riding a motorbike in the event related to motocross,A motocross rider is giving a motorbike to a person at an event,1
1056,The person is riding a motorbike on a sandy track,A man is riding a motorbike in the event related to motocross,1
1057,There is no person riding a motorbike in the event related to motocross,The person is riding a motorbike on a sandy track,1
1058,The person is riding a motorbike on a sandy track,A motocross rider is giving a motorbike to a person at an event,1
1059,The person is riding a motorbike on a track on the sand,A person is riding a motorbike in the event related to motocross,1
1060,A person is riding a motorbike in the event related to motocross,The person isn't riding a motorbike on a sandy track,1
1061,A motorbike rider is jumping over a person on a sandy track,A person is riding a motorbike in the event related to motocross,1
1062,The person is riding a motorbike on a sandy track,A person is riding a motorbike in the event related to motocross,1
1063,A pink shirt with white writing on it is being worn by a girl who is lying in the grass,A girl is wearing a pink shirt with white writing on it and is lying in the grass,1
1064,A girl is wearing a pink shirt with white writing on it and is lying in the grass,A girl is naked and is standing on the grass,1
1065,The young girl with a shirt dyed pink is peacefully lying on the grass,The young girl with a pink shirt is peacefully lying on the grass,1
1066,The young girl with a pink shirt is peacefully lying on the grass,The young girl with a pink shirt isn't peacefully lying on the grass,1
1067,The young peaceful girl is lying about the grass found in the pink shirt,The young girl with a pink shirt is peacefully lying on the grass,1
1068,A girl is wearing a pink shirt with white writing on it and is lying in the grass,The young girl with a shirt dyed pink is peacefully lying on the grass,1
1069,A girl is wearing a pink shirt with white writing on it and is lying in the grass,The young girl with a pink shirt isn't peacefully lying on the grass,1
1070,The young peaceful girl is lying about the grass found in the pink shirt,A girl is wearing a pink shirt with white writing on it and is lying in the grass,1
1071,The young girl with a pink shirt is peacefully lying on the grass,A pink shirt with white writing on it is being worn by a girl who is lying in the grass,1
1072,The young girl with a pink shirt is peacefully lying on the grass,A girl is naked and is standing on the grass,1
1073,The young girl with a pink shirt is peacefully lying on the grass,A girl is wearing a pink shirt with white writing on it and is lying in the grass,1
1074,A dog of large size is running on the grass with a tennis ball in its mouth,A large dog is running on the grass with a tennis ball in its mouth,1
1075,There is no large dog running on the grass with a tennis ball in its mouth,A large dog is running on the grass with a tennis ball in its mouth,1
1076,A large dog is running on the grass with a tennis ball in its mouth,A large tennis ball is being used to teach a dog to run in the grass and catch it with its mouth,1
1077,"A dog, which is large and gray, is difficultly carrying a ball in its mouth and running across the grass","A dog, which is large and gray, is carrying a ball in its mouth and running across the grass",1
1078,"A dog, which is large and gray, is dropping a ball from its mouth and stopping in the grass","A dog, which is large and gray, is carrying a ball in its mouth and running across the grass",1
1079,"A dog, which is large and gray, is carrying a ball in its mouth and running across the grass","A large, gray ball is hitting a running dog, which is carrying some grass in its mouth",1
1080,A large dog is running on the grass with a tennis ball in its mouth,"A dog, which is large and gray, is difficultly carrying a ball in its mouth and running across the grass",1
1081,A large dog is running on the grass with a tennis ball in its mouth,"A dog, which is large and gray, is dropping a ball from its mouth and stopping in the grass",1
1082,"A large, gray ball is hitting a running dog, which is carrying some grass in its mouth",A large dog is running on the grass with a tennis ball in its mouth,0
1083,"A dog, which is large and gray, is carrying a ball in its mouth and running across the grass",A dog of large size is running on the grass with a tennis ball in its mouth,1
1084,"A dog, which is large and gray, is carrying a ball in its mouth and running across the grass",There is no large dog running on the grass with a tennis ball in its mouth,1
1085,A large tennis ball is being used to teach a dog to run in the grass and catch it with its mouth,"A dog, which is large and gray, is carrying a ball in its mouth and running across the grass",1
1086,"A dog, which is large and gray, is carrying a ball in its mouth and running across the grass",A large dog is running on the grass with a tennis ball in its mouth,1
1087,A man is opening a package that contains headphones,A man who is wearing headphones is opening a package ,1
1088,A woman is riding a brown horse,A woman is riding a horse,1
1089,There is no woman riding a horse,A woman is riding a horse,1
1090,A man is opening a package that contains headphones,A woman is riding a brown horse,0
1091,There is no woman riding a horse,A man is opening a package that contains headphones,0
1092,A woman is riding a horse,A man is opening a small package that contains headphones,0
1093,A woman is riding a horse,A man is opening a package that doesn't contain headphones,0
1094,A man who is wearing headphones is opening a package ,A woman is riding a horse,0
1095,A woman is riding a horse,A man is opening a package that contains headphones,0
1096,A man is opening a small package that contains headphones,A man is opening a package that contains headphones,1
1097,A man is opening a package that contains headphones,A man is opening a package that doesn't contain headphones,1
1098,A man is singing and playing the guitar,A man is singing a song and playing the guitar,1
1099,There is no man singing and playing the guitar,A man is singing and playing the guitar,1
1100,A man is singing a song and playing the guitar,A man is opening a package that contains headphones,0
1101,A man is opening a package that contains headphones,There is no man singing and playing the guitar,0
1102,A man is opening a small package that contains headphones,A man is singing and playing the guitar,0
1103,A man is opening a package that doesn't contain headphones,A man is singing and playing the guitar,0
1104,A man is singing and playing the guitar,A man who is wearing headphones is opening a package ,0
1105,A man is singing and playing the guitar,A man is opening a package that contains headphones,0
1106,A dog is riding a skateboard,An animal is riding a skateboard,1
1107,There is no dog riding a skateboard,A dog is riding a skateboard,1
1108,A sea turtle is hunting for fish,A sea turtle is hunting for food,1
1109,A sea turtle is not hunting for fish,A sea turtle is hunting for fish,1
1110,A fish is hunting for a turtle in the sea,A sea turtle is hunting for fish,1
1111,The turtle is following the red fish,The turtle is following the fish,1
1112,The turtle is following the fish,The turtle isn't following the fish,1
1113,The turtle is following the fish,The fish is following the turtle,1
1114,A sea turtle is hunting for fish,The turtle is following the red fish,1
1115,A sea turtle is hunting for fish,The turtle isn't following the fish,1
1116,The fish is following the turtle,A sea turtle is hunting for fish,1
1117,The turtle is following the fish,A sea turtle is hunting for food,1
1118,The turtle is following the fish,A sea turtle is not hunting for fish,1
1119,A fish is hunting for a turtle in the sea,The turtle is following the fish,1
1120,A sea turtle is hunting for fish,The turtle is following the fish,1
1121,A man is driving a car,The car is being driven by a man,1
1122,There is no man driving the car,A man is driving a car,1
1123,A woman is dipping a prawn in batter,A woman is dipping a shrimp in batter,1
1124,There is no woman dipping a shrimp in batter,A woman is dipping a shrimp in batter,1
1125,A woman is dipping a prawn in batter,A man is driving a car,0
1126,A man is driving a car,There is no woman dipping a shrimp in batter,0
1127,A woman is dipping a shrimp in batter,The car is being driven by a man,0
1128,A woman is dipping a shrimp in batter,There is no man driving the car,0
1129,A woman is dipping a shrimp in batter,A man is driving a car,0
1130,A man is playing a guitar under a windows,A man is playing a guitar,1
1131,There is no man playing a guitar,A man is playing a guitar,1
1132,A man is playing a piano at a concert,A man is playing a piano,1
1133,A man is playing a piano,There is no man playing a piano,1
1134,A man is playing a piano at a concert,A man is playing a guitar,1
1135,There is no man playing a piano,A man is playing a guitar,1
1136,A man is playing a guitar under a windows,A man is playing a piano,0
1137,There is no man playing a guitar,A man is playing a piano,1
1138,A man is playing a piano,A man is playing a guitar,1
1139,A woman is adding ingredients to a big bowl,A woman is adding ingredients to a bowl,1
1140,A woman is removing ingredients from a bowl,A woman is adding ingredients to a bowl,1
1141,A woman is cracking some eggs into a bowl,A woman is cracking some eggs into a container,1
1142,A woman is cracking some eggs into a bowl,A woman is cracking some eggs outside a bowl,1
1143,A woman is cracking some eggs into a container,A woman is adding ingredients to a bowl,1
1144,A woman is cracking some eggs outside a bowl,A woman is adding ingredients to a bowl,1
1145,A woman is adding ingredients to a big bowl,A woman is cracking some eggs into a bowl,1
1146,A woman is cracking some eggs into a bowl,A woman is removing ingredients from a bowl,1
1147,A woman is cracking some eggs into a bowl,A woman is adding ingredients to a bowl,1
1148,A woman is slicing a carrot,A carrot is being sliced by a woman,1
1149,There is no woman slicing a carrot,A woman is slicing a carrot,1
1150,A potato is being sliced by a woman,A woman is slicing a potato,1
1151,There is no woman slicing a potato,A woman is slicing a potato,1
1152,A potato is being sliced by a woman,A woman is slicing a carrot,1
1153,A woman is slicing a carrot,There is no woman slicing a potato,1
1154,A woman is slicing a potato,A carrot is being sliced by a woman,1
1155,A woman is slicing a potato,There is no woman slicing a carrot,1
1156,A woman is slicing a potato,A woman is slicing a carrot,1
1157,A woman is cooking prawns,A woman is boiling shrimps,1
1158,A woman is not boiling shrimps,A woman is boiling shrimps,1
1159,A woman is combing her hair,A woman is arranging her hair,1
1160,A woman is combing her hair,There is no woman combing her hair,1
1161,A woman is boiling shrimps,A woman is arranging her hair,0
1162,A woman is boiling shrimps,There is no woman combing her hair,0
1163,A woman is cooking prawns,A woman is combing her hair,0
1164,A woman is not boiling shrimps,A woman is combing her hair,0
1165,A woman is boiling shrimps,A woman is combing her hair,0
1166,A man and a woman are hiking through a wooded area,A man and a woman are walking through a wooded area,1
1167,A man and a woman are walking through a desert area,A man and a woman are walking through a wooded area,1
1168,A man and a woman are walking together through wooded areas,A man and a woman are walking together through the woods,1
1169,A man and a woman are walking together through the woods,A man and a woman are walking together through the city,1
1170,A man and a woman are walking together through wooded areas,A man and a woman are walking through a wooded area,1
1171,A man and a woman are walking together through the city,A man and a woman are walking through a wooded area,1
1172,A man and a woman are hiking through a wooded area,A man and a woman are walking together through the woods,1
1173,A man and a woman are walking together through the woods,A man and a woman are walking through a desert area,1
1174,A man and a woman are walking together through the woods,A man and a woman are walking through a wooded area,1
1175,A man is making a speech on a podium,A man is speaking on a podium,1
1176,A man is speaking on a podium,There is no man speaking on a podium,1
1177,A man is speaking on a podium,A podium is where a man is speaking,1
1178,A man is tanking on a stage in front of a crowd,A man is speaking on a stage,1
1179,A man is speaking on a stage,There is no man speaking on a stage,1
1180,A man is speaking about the stage,A man is speaking on a stage,1
1181,A man is speaking on a podium,A man is tanking on a stage in front of a crowd,1
1182,A man is speaking on a podium,There is no man speaking on a stage,1
1183,A man is speaking about the stage,A man is speaking on a podium,1
1184,A man is making a speech on a podium,A man is speaking on a stage,1
1185,A man is speaking on a stage,There is no man speaking on a podium,1
1186,A man is speaking on a stage,A podium is where a man is speaking,1
1187,A man is speaking on a stage,A man is speaking on a podium,1
1188,A woman is talking on a telephonic device,A woman is talking on a telephone,1
1189,A woman is not talking on a telephone,A woman is talking on a telephone,1
1190,Two frightened boys are talking on the phone,Two boys are talking on the phone,1
1191,Two boys are talking on the phone,Two boys are not talking on the phone,1
1192,Two frightened boys are talking on the phone,A woman is talking on a telephone,1
1193,A woman is talking on a telephone,Two boys are not talking on the phone,1
1194,A woman is talking on a telephonic device,Two boys are talking on the phone,1
1195,A woman is not talking on a telephone,Two boys are talking on the phone,1
1196,A woman is talking on a telephone,Two boys are talking on the phone,1
1197,A monkey is wading through a marsh,A monkey is wading through a river,1
1198,There is no monkey wading through a marsh,A monkey is wading through a marsh,1
1199,A small monkey is walking in the river,A small monkey is walking through water,1
1200,A small monkey is walking through water,A monkey isn't walking through water,1
1201,A small monkey is walking in the river,A monkey is wading through a marsh,1
1202,A monkey is wading through a marsh,A monkey isn't walking through water,1
1203,A monkey is wading through a river,A small monkey is walking through water,1
1204,A small monkey is walking through water,There is no monkey wading through a marsh,1
1205,A small monkey is walking through water,A monkey is wading through a marsh,1
1206,A man is slicing a bun,A man is cutting a bun,1
1207,A man is slicing a bun,There is no man slicing a bun,1
1208,A man is slicing a red tomato,A man is slicing a tomato,1
1209,A man is slicing a tomato,There is no man slicing a tomato,1
1210,A man is slicing a red tomato,A man is slicing a bun,1
1211,A man is slicing a bun,There is no man slicing a tomato,1
1212,A man is cutting a bun,A man is slicing a tomato,1
1213,A man is slicing a tomato,There is no man slicing a bun,1
1214,A man is slicing a bun,A man is slicing a tomato,1
1215,A woman is dancing and singing in the rain,A woman is performing in the rain,1
1216,A woman is dancing and singing in the rain,There is no woman dancing and singing in the rain,1
1217,Some women are dancing and singing ,A woman is dancing and singing with other women,1
1218,A woman is dancing and singing alone,A woman is dancing and singing with other women,1
1219,Some women are dancing and singing ,A woman is dancing and singing in the rain,1
1220,A woman is dancing and singing in the rain,A woman is dancing and singing alone,1
1221,A woman is dancing and singing with other women,A woman is performing in the rain,1
1222,There is no woman dancing and singing in the rain,A woman is dancing and singing with other women,1
1223,A woman is dancing and singing with other women,A woman is dancing and singing in the rain,1
1224,A woman is removing the peel of a potato,A woman is peeling a potato,1
1225,A woman is peeling a potato,There is no woman peeling a potato,1
1226,A man is slicing a red tomato,A woman is slicing a tomato,1
1227,A woman is slicing a tomato,There is no woman slicing a tomato,1
1228,A woman is peeling a potato,A man is slicing a red tomato,0
1229,There is no woman slicing a tomato,A woman is peeling a potato,1
1230,A woman is removing the peel of a potato,A woman is slicing a tomato,1
1231,A woman is slicing a tomato,There is no woman peeling a potato,0
1232,A woman is peeling a potato,A woman is slicing a tomato,1
1233,A woman is amalgamating eggs,A woman is mixing eggs,1
1234,There is no woman mixing eggs,A woman is mixing eggs,1
1235,The hungry woman is eating,The woman is eating,1
1236,The woman is eating,The woman is drinking,1
1237,The hungry woman is eating,A woman is mixing eggs,1
1238,A woman is mixing eggs,The woman is drinking,0
1239,A woman is amalgamating eggs,The woman is eating,0
1240,The woman is eating,There is no woman mixing eggs,0
1241,The woman is eating,A woman is mixing eggs,0
1242,A band is performing on a stage,A band is playing on a stage,1
1243,A band is not performing on a stage,A band is performing on a stage,1
1244,A band is performing onstage,A band is playing onstage,1
1245,A band is playing onstage,There is no band playing,1
1246,A band is performing onstage,A band is performing on a stage,1
1247,A band is performing on a stage,There is no band playing,1
1248,A band is playing on a stage,A band is playing onstage,1
1249,A band is not performing on a stage,A band is playing onstage,1
1250,A band is performing on a stage,A band is playing onstage,1
1251,A man is shaking a drink,A man is mixing,1
1252,There is no man mixing,A man is mixing,1
1253,A man is arranging the garden,A man is mowing a lawn,1
1254,A man is mowing a lawn,A man is not mowing a lawn,1
1255,A man is mixing,A man is arranging the garden,0
1256,A man is mixing,A man is not mowing a lawn,0
1257,A man is shaking a drink,A man is mowing a lawn,0
1258,There is no man mixing,A man is mowing a lawn,0
1259,A man is mixing,A man is mowing a lawn,0
1260,A man is dancing,A man is moving gracefully,1
1261,A man is sitting,A man is dancing,1
1262,A man is walking in a yard,A man is walking outside,1
1263,There is no man walking outside,A man is walking outside,1
1264,A man is dancing,A man is walking in a yard,0
1265,There is no man walking outside,A man is dancing,0
1266,A man is moving gracefully,A man is walking outside,1
1267,A man is sitting,A man is walking outside,1
1268,A man is dancing,A man is walking outside,0
1269,A black cat is swinging on a fan,A cat is swinging on a fan,1
1270,There is no cat swinging on a fan,A cat is swinging on a fan,1
1271,A cat is stuck on a ceiling fan that is moving,A cat is stuck on a moving ceiling fan,1
1272,A cat is stuck on a moving ceiling fan,A cat is playing on a moving ceiling fan,1
1273,A cat is swinging on a fan,A cat is stuck on a ceiling fan that is moving,1
1274,A cat is playing on a moving ceiling fan,A cat is swinging on a fan,1
1275,A black cat is swinging on a fan,A cat is stuck on a moving ceiling fan,1
1276,A cat is stuck on a moving ceiling fan,There is no cat swinging on a fan,1
1277,A cat is swinging on a fan,A cat is stuck on a moving ceiling fan,1
1278,A man is making music with a flute,A man is playing flute,1
1279,A man is playing flute,There is no man playing flute,1
1280,A man is playing baseball with a flute,A man is playing flute,1
1281,A man is playing soccer,A man is playing a game with a ball,1
1282,There is no man playing soccer,A man is playing soccer,1
1283,A man is playing soccer,A soccer man is playing piano,1
1284,A man is playing flute,A man is playing a game with a ball,0
1285,A man is playing flute,There is no man playing soccer,0
1286,A soccer man is playing piano,A man is playing flute,0
1287,A man is making music with a flute,A man is playing soccer,0
1288,There is no man playing flute,A man is playing soccer,0
1289,A man is playing baseball with a flute,A man is playing soccer,0
1290,A man is playing flute,A man is playing soccer,0
1291,A man is frying a tortilla,A man is frying food,1
1292,There is no man frying a tortilla,A man is frying a tortilla,1
1293,A person is performing a card trick,A person is doing a trick with some cards,1
1294,A person is performing a card trick,Nobody is performing a card trick,1
1295,A person is doing a trick with some cards,A man is frying a tortilla,0
1296,A man is frying a tortilla,Nobody is performing a card trick,0
1297,A person is performing a card trick,A man is frying food,0
1298,A person is performing a card trick,There is no man frying a tortilla,0
1299,A person is performing a card trick,A man is frying a tortilla,0
